produto_id,codigo_barras,descricao,preco,preco_promocional,preco_original,disponivel,em_oferta,unidade_sigla,imagem,sku,codigo_erp,classificacao_mercadologica_id
4462,7896024760357,Bisc. Rech. Piraque 160g Choco,2.99,,2.99,True,False,UN,01bde4f7-24cc-4265-a20d-ba812c5de49a.jpg,FF-0116E,126240,187
4465,7896662003403,"Cobert. Forno Fogao 1,2kg Ched",36.90,,36.90,True,False,UN,37d5d65e-f8a4-45d1-8aac-10eb3e56fe6d.jpg,FF-01171,126303,73
4463,7896024760364,Bisc. Rech. Piraque 160g Moran,2.99,,2.99,True,False,UN,0284bb83-5f55-411a-9cc8-6596ac8698fd.jpg,FF-0116F,126241,187
4467,7896371000199,Cerv. Therezopolis 500ml Dunke,12.99,,12.99,True,False,UN,edb7a615-a527-462b-a377-bcc7ba0009ae.jpg,FF-01173,126567,68
4466,126566,Cerv. Therezopolis 500ml Bock,12.99,,12.99,True,False,UN,f9b92995-9c27-4717-89ab-1361f1b967c3.jpg,FF-01172,126566,68
4461,7896024760401,Bisc. Rech. Piraque 160g Prett,2.99,,2.99,True,False,UN,21556afe-d238-409f-a534-bb4f476d846d.jpg,FF-0116D,126239,187
4476,7891150072237,"Lava Roupa Omo 2,2kg Sanitizan",39.90,,39.90,True,False,UN,b67e1deb-62db-490e-a428-6731ef1227c7.jpg,FF-0117C,126852,89
4478,7896085086632,Bisc. Tortinha Adria 140g Choc,4.79,,4.79,True,False,UN,bedc3b5d-0ee7-4651-85c1-5516446b91ac.jpg,FF-0117E,126988,52
4477,7896085086212,Torrada Adria 142g Integral,3.99,,3.99,True,False,UN,ca536b00-c24d-44fb-835e-8252ad7cf9b4.jpg,FF-0117D,126874,212
4479,7896085086687,Bisc. Tortinha Adria 140g Mora,4.79,,4.79,True,False,UN,22bde634-9179-454f-8a08-2cb8ca128c6d.jpg,FF-0117F,126989,52
4480,7896085086649,Bisc. Tortinha Adria 140g Tort,4.79,,4.79,True,False,UN,9e0a6ae8-e2fa-4e5a-88a9-bd32cf48dbfc.jpg,FF-01180,126990,52
4487,7891095031177,Batata Palha Yoki 100g E. Fina,10.99,,10.99,True,False,UN,f843aca4-9af9-4ec7-8df1-24e45aa74938.jpg,FF-01187,128135,145
4485,7891132082285,Refresco Mid 20g Groselha,0.99,,0.99,True,False,UN,3d7b0ef3-7b0a-4dff-a1a0-ab95f91d522e.jpg,FF-01185,128115,188
4483,7891132082384,Refresco Mid 20g Morango,0.99,,0.99,True,False,UN,80703d6e-251f-449e-97c9-e82e34881943.jpg,FF-01183,128113,188
4482,7891132082520,Refresco Mid 20g Graviola,0.99,,0.99,True,False,UN,d7b04dfb-4d41-46c9-90bc-fa2fa001af3c.jpg,FF-01182,128111,188
4486,7891132082261,Refresco Mid 20g Goiaba,0.99,,0.99,True,False,UN,31f27097-18ff-465b-bf82-989106a5cf37.jpg,FF-01186,128116,188
4484,7891132082360,Refresco Mid 20g Maracuja,0.99,,0.99,True,False,UN,c17c96f0-d9b7-43c6-b462-f1fee4a70588.jpg,FF-01184,128114,188
4488,7896339812031,Papel Hig. Ole F. Dupla C/12 2,10.90,,10.90,False,False,UN,004a3ca9-81bb-4fc4-b543-a7e8cc048a51.jpg,FF-01188,128136,174
4493,7891242211537,Limp. M.uso Uau 500ml Limao Si,4.55,,4.55,True,False,UN,f2cb5e49-1e9b-442c-af63-fa71a9accec7.jpg,FF-0118D,128147,160
4489,7898061680919,Farofa Bom Gosto 300g Tradicio,9.90,,9.90,True,False,UN,02b80ca5-3c7f-4480-9ed9-67b76acc4c51.jpg,FF-01189,128140,107
4495,7891242001114,Limpa Piso Uau 750ml Acao Clar,14.56,,14.56,True,False,UN,a36d10d4-8763-45f4-b74a-c84733c4c70a.jpg,FF-0118F,128149,160
4497,7891242459199,Limp. Perf. Uau 2l Lavanda Pro,14.89,,14.89,True,False,UN,bfa1b682-2869-4623-bfb7-570ba784edea.jpg,FF-01191,128151,160
4490,7896057801508,Vinagre Barcelos 375ml Maca,8.99,,8.99,True,False,UN,d58c692e-8d37-4a16-84d7-b1bde63faca8.jpg,FF-0118A,128141,220
4496,7891242001121,Limpa Piso Uau 750ml Eliminado,12.90,,12.90,True,False,UN,0dfa5097-c19b-4f33-aa2e-dbd66aef8dda.jpg,FF-01190,128150,160
4494,7891242001015,Limp. M.uso Uau 500ml C/ Alcoo,4.55,,4.55,True,False,UN,c4e58d27-5253-486d-a94e-4711245220f5.jpg,FF-0118E,128148,160
4505,7898015780092,Pao Rech. Nikuman 400g Frango,34.90,,34.90,True,False,UN,b15f9ab7-76b3-4780-9fe5-8c83f82a7cb2.jpg,FF-01199,128169,131
4498,7891242459182,Limp. Perf. Uau 2l Flores Verm,14.89,,14.89,True,False,UN,b0aa6e64-33d2-4403-92a2-88eac46396a8.jpg,FF-01192,128152,160
4506,7896024760135,Bisc. Piraque 75g Goiabinha Ro,3.99,,3.99,True,False,UN,aa503ac8-f041-4c7d-8954-6c15760060e9.jpg,FF-0119A,128174,52
4504,7898015780115,Pao Rech. Nikuman 400g Suino B,34.90,,34.90,True,False,UN,5b7d941e-7ef4-49f5-ae3e-37004d7f58bf.jpg,FF-01198,128168,131
4511,7896434920778,Mistura Lactea Cond. Triangulo,4.99,,4.99,False,False,UN,86be8e65-93d0-4aae-b0bb-28ae50239a03.jpg,FF-0119F,128199,154
4512,7898367983356,Cerv. Eisenbahn 473ml Lt,3.99,3.99,5.49,True,True,UN,fd951913-b696-4d81-b9ec-8da1b7b12bd9.jpg,FF-011A0,128207,68
4515,128224,Vinho Monte Cepas 750ml Tinto,29.90,,29.90,True,False,UN,b9e7e6d7-0870-495d-9c2e-a8bfdb086c96.jpg,FF-011A3,128224,221
4510,128192,Iog. Batavo 170g Graviola,2.99,,2.99,True,False,UN,d9db2204-4df8-4078-b0f0-f21f2362cfd8.jpg,FF-0119E,128192,123
4516,128225,Vinho Monte Cepas 750ml Branco,34.90,,34.90,True,False,UN,160c5623-a918-4ded-b37b-4d49e1b9a23c.jpg,FF-011A4,128225,221
4514,128213,Massa Mac Cheese Seara 300g Ch,12.90,,12.90,True,False,UN,5cd861ed-fc3e-42b6-968e-d139937d7768.jpg,FF-011A2,128213,141
4517,128226,Vinho Monte Cepas 750ml Rose,39.90,,39.90,True,False,UN,cb4bb080-72cb-4a97-9e60-69d543e5ef6a.jpg,FF-011A5,128226,221
4526,128270,Sol. Bucal Close Up Lv500ml Pg,21.90,,21.90,True,False,UN,a162a692-0da6-4337-abc2-0361c035de51.jpg,FF-011AE,128270,81
4531,7896005809501,Beb. Lactea 3 Coracoes 260ml C,8.59,,8.59,True,False,UN,af511185-64d2-47f6-853d-c684de82625b.jpg,FF-011B3,128340,237
4530,7896045102570,Capsula Tres 116g Doce Leite H,17.98,,17.98,True,False,UN,1a4f1ef3-14b7-4374-9b75-9936a1ec93b6.jpg,FF-011B2,128339,57
4533,7896098902233,Sabon. Flor Ype Suave 85g Flor,1.69,,1.69,True,False,UN,d9a09ea9-c3e6-42fd-b96f-9ddb2d694361.jpg,FF-011B5,128345,193
4534,7896098902219,Sabon. Flor Ype Suave 85g Gard,1.69,,1.69,True,False,UN,fb6ba526-7071-437d-bbf7-9751cebf6120.jpg,FF-011B6,128346,193
4532,7896005809518,Beb. Lactea 3 Coracoes 260ml C,8.59,,8.59,True,False,UN,ea4570e5-b248-418c-9c49-1344a5fbb18c.jpg,FF-011B4,128341,237
4536,7891132082469,Refresco Mid 20g Caju,0.99,,0.99,True,False,UN,f603957d-0044-46dd-ac20-e37a63b96b3f.jpg,FF-011B8,128351,188
